Survived,Pclass,Sex,Age,Fare,Cabin,Embarked,CabinKnown,Title,Family
0,3,1,22,0,7,2,0,1,1
1,1,0,38,2,2,0,1,3,1
1,3,0,26,0,7,2,0,2,0
1,1,0,35,2,2,2,1,3,1
0,3,1,35,0,7,2,0,1,0
0,3,1,47,0,7,1,0,1,0
0,1,1,54,2,4,2,1,1,0
0,3,1,2,1,7,2,0,4,4
1,3,0,27,1,7,2,0,3,2
1,2,0,14,2,7,0,0,3,1
1,3,0,4,1,6,2,1,2,2
1,1,0,58,2,2,2,1,2,0
0,3,1,20,0,7,2,0,1,0
0,3,1,39,2,7,2,0,1,6
0,3,0,14,0,7,2,0,2,0
1,2,0,55,1,7,2,0,3,0
0,3,1,2,2,7,1,0,4,5
1,2,1,-4,1,7,2,0,1,0
0,3,0,31,1,7,2,0,3,1
1,3,0,55,0,7,0,0,3,0
0,2,1,35,1,7,2,0,1,0
1,2,1,34,1,3,2,1,1,0
1,3,0,15,0,7,1,0,2,0
1,1,1,28,2,0,2,1,1,0
0,3,0,8,1,7,2,0,2,4
1,3,0,38,2,7,2,0,3,6
0,3,1,16,0,7,0,0,1,0
0,1,1,19,2,2,2,1,1,5
1,3,0,16,0,7,1,0,2,0
0,3,1,-4,0,7,2,0,1,0
0,1,1,40,2,7,0,0,5,0
1,1,0,9,2,1,0,1,3,1
1,3,0,-10,0,7,1,0,2,0
0,2,1,66,1,7,2,0,1,0
0,1,1,28,2,7,0,0,1,1
0,1,1,42,2,7,2,0,1,1
1,3,1,51,0,7,0,0,1,0
0,3,1,21,0,7,2,0,1,0
0,3,0,18,1,7,2,0,2,2
1,3,0,14,1,7,0,0,2,1
0,3,0,40,1,7,2,0,3,1
0,2,0,27,1,7,2,0,3,1
0,3,1,4,0,7,0,0,1,0
1,2,0,3,2,7,0,0,2,3
1,3,0,19,0,7,1,0,2,0
0,3,1,-4,0,7,2,0,1,0
0,3,1,65,1,7,1,0,1,1
1,3,0,53,0,7,1,0,2,0
0,3,1,49,1,7,0,0,1,2
0,3,0,18,1,7,2,0,3,1
0,3,1,7,2,7,2,0,4,5
0,3,1,21,0,7,2,0,1,0
1,1,0,49,2,3,0,1,3,1
1,2,0,29,1,7,2,0,3,1
0,1,1,65,2,1,0,1,1,1
1,1,1,18,2,2,2,1,1,0
1,2,0,21,1,7,2,0,2,0
0,3,1,28,0,7,0,0,1,0
1,2,0,5,2,7,2,0,2,3
0,3,1,11,2,7,2,0,4,7
0,3,1,22,0,7,0,0,1,0
1,1,0,38,2,1,0,1,2,0
0,1,1,45,2,2,2,1,1,1
0,3,1,4,2,7,2,0,4,5
0,1,1,43,2,7,0,0,1,0
1,3,1,35,1,7,0,0,4,2
1,2,0,29,1,5,2,1,3,0
0,3,1,19,0,7,2,0,1,0
1,3,0,17,0,7,2,0,2,6
0,3,1,26,0,7,2,0,1,2
0,2,1,32,1,7,2,0,1,0
0,3,0,16,2,7,2,0,2,7
0,2,1,21,2,7,2,0,1,0
0,3,1,26,1,7,0,0,1,1
1,3,1,32,2,7,2,0,1,0
0,3,1,25,0,5,2,1,1,0
0,3,1,63,0,7,2,0,1,0
0,3,1,-8,0,7,2,0,1,0
1,2,1,0,2,7,2,0,4,2
1,3,0,30,1,7,2,0,2,0
0,3,1,22,0,7,2,0,1,0
1,3,1,29,1,7,2,0,1,0
1,3,0,61,0,7,1,0,2,0
0,1,1,28,2,7,2,0,1,0
1,2,0,17,1,7,2,0,2,0
1,3,0,33,1,7,2,0,3,3
0,3,1,16,2,7,2,0,1,4
0,3,1,63,0,7,2,0,1,0
1,1,0,23,2,2,2,1,2,5
0,3,1,24,0,7,2,0,1,0
0,3,1,29,0,7,2,0,1,0
0,3,1,20,0,7,2,0,1,0
0,1,1,46,2,4,2,1,1,1
0,3,1,26,1,7,2,0,1,3
0,3,1,59,0,7,2,0,1,0
0,3,1,51,0,7,2,0,1,0
0,1,1,71,2,0,0,1,1,0
1,1,1,23,2,3,0,1,1,1
1,2,0,34,1,7,2,0,3,1
0,2,1,34,1,7,2,0,1,1
0,3,0,28,0,7,2,0,2,0
0,3,1,50,0,7,2,0,1,0
0,1,1,21,2,3,2,1,1,1
0,3,1,33,0,7,2,0,1,0
0,3,1,37,0,7,2,0,1,2
0,3,1,28,0,7,2,0,1,0
1,3,0,21,0,7,2,0,2,0
1,3,1,38,0,7,2,0,1,0
0,3,1,38,0,7,2,0,1,0
1,3,0,17,1,7,1,0,2,1
0,1,1,47,2,2,2,1,1,0
0,3,0,14,1,7,0,0,2,1
0,3,1,22,0,7,2,0,1,0
0,3,0,20,1,7,2,0,2,1
0,3,0,17,1,7,0,0,2,0
0,3,1,21,0,7,2,0,1,0
0,3,1,70,0,7,1,0,1,0
0,2,1,29,1,7,2,0,1,1
0,1,1,24,2,1,0,1,1,1
0,3,0,2,2,7,2,0,2,6
0,2,1,21,2,7,2,0,1,2
0,3,1,66,0,7,2,0,1,0
0,2,1,32,2,7,0,0,1,1
1,2,0,32,1,4,2,1,2,0
0,1,1,54,2,3,2,1,1,1
1,3,1,12,1,7,0,0,4,1
0,3,1,3,0,7,1,0,1,0
1,3,1,24,0,7,2,0,1,0
1,3,0,72,1,5,0,1,2,2
0,3,1,45,0,7,2,0,1,0
0,3,1,33,0,7,0,0,1,0
0,3,1,20,0,7,2,0,1,0
0,3,0,47,1,7,2,0,3,1
1,2,0,29,1,7,2,0,3,1
0,2,1,25,1,7,2,0,1,0
0,2,1,23,1,7,0,0,1,0
1,1,0,19,2,3,2,1,2,2
0,1,1,37,2,2,2,1,1,1
0,3,1,16,1,7,2,0,1,0
0,1,1,24,2,1,0,1,1,0
0,3,0,65,1,7,0,0,3,2
1,3,0,22,0,7,2,0,2,0
1,3,0,24,1,7,2,0,3,1
0,3,1,19,0,7,1,0,1,0
0,2,1,18,1,7,2,0,1,0
0,2,1,19,2,7,2,0,1,2
1,3,1,27,0,7,2,0,1,0
0,3,0,9,2,7,2,0,2,4
0,2,1,36,1,5,2,1,1,2
0,2,1,42,1,7,2,0,5,0
0,2,1,51,1,7,2,0,5,0
1,1,0,22,2,2,2,1,3,1
0,3,1,55,0,7,2,0,1,0
0,3,1,40,1,7,2,0,1,2
0,3,1,67,0,7,2,0,1,0
0,1,1,51,2,7,0,0,1,1
1,3,0,16,0,7,1,0,2,0
0,3,1,30,0,7,2,0,1,0
0,3,1,54,0,7,2,0,1,0
0,3,1,69,2,7,2,0,4,10
0,3,1,44,1,7,2,0,1,1
1,2,0,40,1,7,2,0,3,0
0,3,1,26,0,7,2,0,1,0
0,3,1,17,0,7,2,0,1,0
0,3,1,1,2,7,2,0,4,5
1,3,1,9,1,7,2,0,4,2
1,1,0,69,2,4,2,1,3,1
0,3,0,45,2,7,2,0,3,5
0,1,1,6,1,7,2,0,1,0
0,3,1,28,2,7,2,0,1,0
0,1,1,61,2,1,2,1,1,0
0,3,1,4,2,7,1,0,4,5
1,3,0,1,1,7,2,0,2,2
0,3,1,21,0,7,2,0,1,0
0,1,1,56,2,0,0,1,1,0
0,3,1,18,0,7,2,0,1,2
0,3,1,59,1,7,2,0,4,4
0,1,0,50,2,2,0,1,2,0
0,2,1,30,1,7,2,0,1,0
0,3,1,36,1,7,2,0,1,0
0,3,0,33,2,7,2,0,2,10
0,2,1,62,1,7,0,0,1,0
0,3,1,9,2,7,2,0,4,6
1,2,1,1,2,5,2,1,4,3
1,3,0,4,1,7,2,0,2,2
0,1,1,58,2,0,2,1,1,0
1,3,0,45,1,7,1,0,3,1
1,1,1,45,2,7,2,0,1,0
0,3,1,40,1,7,1,0,1,2
0,3,1,36,0,7,2,0,1,0
1,2,0,32,1,7,2,0,3,0
0,2,1,19,1,7,2,0,1,0
1,3,0,19,0,7,2,0,2,1
1,2,1,3,1,5,2,1,4,2
1,1,0,44,2,1,0,1,3,0
1,1,0,58,2,1,0,1,2,0
0,3,1,35,0,7,1,0,1,0
0,3,1,42,0,7,2,0,1,1
1,3,0,68,0,7,1,0,2,0
0,2,0,24,1,7,2,0,2,0
0,3,1,28,1,7,2,0,1,0
0,3,1,62,2,7,2,0,1,10
0,3,1,34,0,7,2,0,1,0
0,3,1,45,0,7,0,0,1,0
1,3,1,18,0,7,2,0,1,0
0,3,0,2,1,6,2,1,2,1
0,3,1,32,1,7,2,0,1,1
1,3,1,26,1,7,0,0,1,0
1,3,0,16,0,7,1,0,2,0
1,1,1,40,2,0,0,1,1,0
0,3,1,24,0,7,2,0,1,0
1,2,0,35,1,7,2,0,2,0
0,3,1,22,0,7,2,0,1,0
0,2,1,30,1,7,2,0,1,0
0,3,1,1,0,7,1,0,1,1
1,1,0,31,2,3,0,1,2,1
1,3,0,27,0,7,2,0,2,0
0,2,1,42,2,7,2,0,1,1
1,1,0,32,2,3,0,1,2,0
0,2,1,30,1,7,2,0,1,0
1,3,1,16,0,7,2,0,1,0
0,2,1,27,1,7,2,0,1,0
0,3,1,51,0,7,2,0,1,0
0,3,1,49,0,7,2,0,1,0
1,1,1,38,2,2,2,1,1,1
0,3,1,22,1,7,2,0,1,0
1,2,1,19,1,7,2,0,1,0
0,3,1,20,0,7,2,0,1,0
0,2,1,18,1,7,2,0,1,0
0,3,0,-5,1,7,2,0,2,4
1,1,0,35,2,2,2,1,3,1
0,3,1,29,0,7,2,0,1,0
0,2,1,59,1,7,2,0,1,0
1,3,0,5,2,7,2,0,2,6
0,2,1,24,1,7,2,0,1,0
0,3,0,0,0,7,2,0,2,0
0,2,1,44,1,7,2,0,1,1
1,2,0,8,2,7,2,0,2,2
0,2,1,19,1,7,2,0,1,0
0,2,1,33,1,7,2,0,1,0
0,3,0,14,1,7,0,0,2,1
1,3,0,28,1,7,1,0,2,1
0,2,1,29,1,7,2,0,1,0
0,3,1,22,0,7,2,0,1,0
0,3,1,30,0,7,0,0,1,0
0,1,1,44,2,2,1,1,5,2
0,3,0,25,0,7,2,0,2,0
1,2,0,24,1,7,2,0,3,2
1,1,1,37,2,3,2,1,1,2
0,2,1,54,1,7,2,0,5,1
0,3,1,29,0,7,2,0,1,0
0,3,0,29,1,6,2,1,3,2
0,1,1,62,2,2,2,1,1,0
0,3,1,30,1,7,2,0,1,1
0,3,0,41,1,7,2,0,3,2
1,3,0,29,1,7,0,0,3,2
1,1,0,18,2,7,0,0,3,0
1,1,0,30,2,1,2,1,2,0
1,1,0,35,2,7,0,0,2,0
1,2,0,50,1,7,2,0,3,1
0,3,1,1,0,7,1,0,1,0
1,3,1,3,2,7,2,0,4,6
0,1,1,52,2,4,2,1,1,2
0,1,1,40,1,1,2,1,1,0
0,3,0,4,0,7,1,0,2,0
0,2,1,36,1,7,2,0,1,0
0,3,1,16,2,7,2,0,1,5
1,3,1,25,0,7,2,0,1,1
1,1,0,58,2,2,2,1,3,1
1,1,0,35,2,2,2,1,2,0
0,1,1,37,2,7,2,0,1,0
1,3,1,25,1,7,2,0,1,0
1,2,0,41,1,7,2,0,3,1
0,1,1,37,2,2,0,1,1,1
1,3,0,59,0,7,1,0,2,0
1,1,0,63,2,3,2,1,2,1
0,3,0,45,0,7,2,0,2,0
0,2,1,-13,1,7,2,0,1,0
0,3,1,7,2,7,1,0,4,5
1,3,0,35,1,7,2,0,3,2
0,3,1,65,0,7,1,0,1,0
0,3,1,28,0,7,2,0,1,0
0,3,1,16,1,7,2,0,1,0
1,3,1,19,0,7,2,0,1,0
0,1,1,-9,1,0,2,1,1,0
0,3,1,33,0,7,0,0,1,0
1,3,1,30,1,7,2,0,1,0
0,3,1,22,0,7,2,0,1,0
1,2,1,42,1,7,2,0,1,0
1,3,0,22,0,7,1,0,2,0
1,1,0,26,2,7,2,0,2,0
1,1,0,19,2,1,0,1,3,1
0,2,1,36,1,3,0,1,1,0
0,3,0,24,0,7,2,0,2,0
0,3,1,24,0,7,2,0,1,0
0,1,1,2,2,7,0,0,1,0
0,3,1,23,0,7,0,0,1,0
0,1,0,2,2,2,2,1,2,3
1,1,1,11,2,2,2,1,1,0
1,1,0,50,2,1,0,1,3,1
1,3,0,9,0,7,1,0,2,0
1,3,1,-12,1,7,1,0,1,2
0,3,1,19,1,7,2,0,1,0
1,2,0,11,1,4,1,1,2,0
0,3,1,36,0,7,2,0,1,0
1,1,1,0,2,2,2,1,4,3
1,1,0,17,2,7,0,0,2,0
1,1,0,17,2,2,0,1,3,1
0,2,1,30,1,7,0,0,1,1
1,1,0,30,2,4,0,1,2,0
1,1,0,24,2,2,0,1,2,0
1,1,0,18,2,1,0,1,2,4
0,2,0,26,1,7,2,0,3,2
0,3,1,28,0,7,2,0,1,0
0,2,1,43,2,7,2,0,1,2
1,3,0,26,0,7,2,0,2,0
1,2,0,24,1,7,2,0,3,1
0,2,1,54,1,7,2,0,5,0
1,1,0,31,2,2,2,1,2,2
1,1,0,40,2,4,0,1,3,2
0,3,1,22,0,7,2,0,1,0
0,3,1,27,0,7,2,0,1,0
1,2,0,30,1,7,1,0,2,0
1,2,0,22,2,7,2,0,3,2
0,3,1,31,2,7,2,0,1,10
1,1,0,36,2,2,0,1,2,0
0,3,1,61,0,7,2,0,1,0
1,2,0,36,1,3,2,1,3,0
1,3,0,31,1,7,2,0,3,2
1,1,0,16,2,1,0,1,2,1
1,3,0,2,1,7,1,0,2,2
0,1,1,45,2,2,2,1,1,0
0,1,1,38,2,2,2,1,1,1
0,3,1,16,1,7,2,0,1,2
1,1,0,24,2,7,2,0,3,1
0,3,1,29,0,7,2,0,1,0
0,1,1,29,2,2,2,1,1,1
1,1,0,41,2,4,0,1,2,0
1,3,1,45,0,7,2,0,1,0
0,1,1,45,2,7,2,1,1,0
1,2,1,2,1,5,2,1,4,2
1,1,0,24,2,2,2,1,2,5
0,2,1,28,1,7,2,0,1,0
0,2,1,25,1,7,2,0,1,0
0,2,1,36,1,7,2,0,1,0
1,2,0,24,1,5,2,1,2,0
1,2,0,40,1,7,2,0,2,0
1,3,0,13,1,7,2,0,3,1
1,3,1,3,1,7,2,0,4,2
0,3,1,42,0,7,2,0,1,0
0,3,1,23,1,7,2,0,1,0
0,1,1,12,2,2,2,1,1,0
0,3,1,15,0,7,0,0,1,2
0,3,1,25,1,7,2,0,1,1
0,3,1,46,0,7,0,0,1,0
0,3,1,28,1,7,2,0,1,0
1,1,0,22,2,4,2,1,2,1
0,2,0,38,1,7,2,0,2,0
1,3,0,-12,0,7,1,0,2,0
1,3,0,-3,0,7,1,0,2,0
0,3,1,40,2,7,2,0,1,5
0,2,1,29,2,7,0,0,1,1
0,3,0,45,1,7,0,0,3,1
0,3,1,35,0,7,2,0,1,0
0,3,1,58,1,7,1,0,1,1
0,3,1,30,0,7,2,0,1,0
1,1,0,60,2,3,0,1,3,1
1,3,0,71,0,7,0,0,3,0
1,3,0,-11,0,7,1,0,2,0
1,1,0,24,2,1,0,1,3,0
1,1,1,25,2,4,0,1,1,1
0,3,1,18,0,7,2,0,1,1
0,3,1,19,0,7,2,0,1,0
0,1,1,22,2,7,0,0,1,0
0,3,0,3,1,7,2,0,2,4
1,1,0,66,2,7,0,0,3,1
1,3,0,22,0,7,2,0,2,0
0,1,1,27,2,2,0,1,1,2
0,3,1,20,0,7,0,0,1,0
0,3,1,19,0,7,2,0,1,0
1,1,0,42,2,7,0,0,2,0
1,3,0,1,1,7,0,0,2,2
0,3,1,32,0,7,2,0,1,0
1,1,0,35,2,7,2,0,3,1
0,3,1,23,0,7,2,0,1,0
0,2,1,18,2,7,2,0,1,0
0,3,1,1,2,7,2,0,4,7
1,2,0,36,1,7,2,0,2,0
0,3,1,62,0,7,1,0,1,0
1,2,0,17,1,7,0,0,2,0
1,1,1,36,2,1,2,1,1,3
1,3,1,21,0,7,2,0,1,0
0,3,1,28,0,7,2,0,1,2
1,1,0,23,2,3,0,1,2,1
1,3,0,24,1,6,2,1,3,2
0,3,1,22,0,7,2,0,1,0
0,3,0,31,0,7,2,0,2,0
0,2,1,46,1,7,2,0,1,0
0,2,1,23,1,7,2,0,5,0
1,2,0,28,1,7,2,0,3,0
1,3,1,39,0,7,2,0,1,0
0,3,1,26,0,7,2,0,1,0
0,3,0,21,1,7,2,0,2,1
0,3,1,28,1,7,2,0,1,1
0,3,0,20,0,7,2,0,2,0
0,2,1,34,1,7,2,0,1,1
0,3,1,51,0,7,2,0,1,0
1,2,1,3,1,7,2,0,4,2
0,3,1,21,0,7,2,0,1,0
0,3,0,15,1,7,2,0,2,4
0,3,1,42,0,7,2,0,1,0
0,3,1,46,0,7,1,0,1,0
1,1,0,33,2,2,1,1,2,1
0,2,1,-9,1,7,2,0,1,0
1,3,1,44,0,7,2,0,1,0
0,3,0,19,0,7,2,0,3,0
1,2,0,34,2,7,2,0,3,2
1,2,0,18,1,7,2,0,2,2
0,2,1,30,1,7,2,0,1,0
0,3,0,10,1,7,2,0,2,2
0,3,1,5,0,7,0,0,1,0
0,3,1,21,0,7,1,0,1,0
0,3,1,29,0,7,2,0,1,0
0,3,0,28,1,7,2,0,3,2
0,3,1,18,1,7,2,0,1,2
0,3,1,-5,0,7,2,0,1,0
1,2,0,28,1,7,2,0,3,1
1,2,0,19,1,7,2,0,2,0
0,3,1,29,0,7,1,0,1,0
1,3,1,32,0,4,2,1,1,0
1,1,1,28,2,2,2,1,1,0
1,3,0,44,1,7,2,0,3,1
1,2,0,42,1,7,2,0,3,1
0,3,1,17,0,7,2,0,1,0
0,1,1,50,2,4,2,1,1,1
1,1,0,14,2,1,2,1,2,3
0,3,0,21,2,7,2,0,2,4
1,2,0,24,1,7,2,0,3,5
0,1,1,64,2,2,2,1,1,5
0,2,1,31,1,7,2,0,1,0
1,2,0,45,2,7,2,0,3,2
0,3,1,20,1,7,2,0,1,0
0,3,1,25,0,7,2,0,1,1
